bin,county,primary_owner,primary_maintenance,condition_rating
C110008,ALBANY,10--NYSDOT,10--NYSDOT,5
C110007,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110006,ALBANY,10--NYSDOT,10--NYSDOT,5
C110005,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110004,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
CA00449,ALBANY,10--NYSDOT,10--NYSDOT,6
C140124,ALBANY,10--NYSDOT,10--NYSDOT,5
C140123,ALBANY,10--NYSDOT,10--NYSDOT,5
C140121,ALBANY,10--NYSDOT,10--NYSDOT,7
C140122,ALBANY,10--NYSDOT,10--NYSDOT,7
C081161,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00359,ALBANY,10--NYSDOT,10--NYSDOT,4
C110131,ALBANY,10--NYSDOT,10--NYSDOT,7
C110129,ALBANY,10--NYSDOT,10--NYSDOT,5
CA00358,ALBANY,10--NYSDOT,10--NYSDOT,3.66700005531311
C130088,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110050,ALBANY,10--NYSDOT,10--NYSDOT,4
C110049,ALBANY,10--NYSDOT,10--NYSDOT,6.4670000076294
CA00310,ALBANY,10--NYSDOT,10--NYSDOT,7
C110039,ALBANY,10--NYSDOT,10--NYSDOT,7
C110041,ALBANY,10--NYSDOT,10--NYSDOT,7
C110045,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110047,ALBANY,10--NYSDOT,10--NYSDOT,4.07399988174438
C110044,ALBANY,10--NYSDOT,10--NYSDOT,4
C110043,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C110042,ALBANY,10--NYSDOT,10--NYSDOT,7
C110040,ALBANY,10--NYSDOT,10--NYSDOT,4
C110037,ALBANY,10--NYSDOT,10--NYSDOT,7
C110048,ALBANY,10--NYSDOT,10--NYSDOT,7
C110038,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00211,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00432,ALBANY,10--NYSDOT,10--NYSDOT,7
C110118,ALBANY,10--NYSDOT,10--NYSDOT,5
C110162,ALBANY,10--NYSDOT,10--NYSDOT,7
C110012,ALBANY,10--NYSDOT,10--NYSDOT,4.66699981689453
C110011,ALBANY,10--NYSDOT,10--NYSDOT,5
CA00251,ALBANY,10--NYSDOT,10--NYSDOT,7
C110126,ALBANY,10--NYSDOT,10--NYSDOT,7
C110114,ALBANY,10--NYSDOT,10--NYSDOT,7
C110113,ALBANY,10--NYSDOT,10--NYSDOT,7
C110150,ALBANY,10--NYSDOT,10--NYSDOT,5
C110151,ALBANY,10--NYSDOT,10--NYSDOT,5
C110149,ALBANY,10--NYSDOT,10--NYSDOT,5
C110148,ALBANY,10--NYSDOT,10--NYSDOT,7
C110147,ALBANY,10--NYSDOT,10--NYSDOT,7
C110146,ALBANY,10--NYSDOT,10--NYSDOT,7
C110145,ALBANY,10--NYSDOT,10--NYSDOT,7
C110144,ALBANY,10--NYSDOT,10--NYSDOT,7
C110143,ALBANY,10--NYSDOT,10--NYSDOT,7
C110142,ALBANY,10--NYSDOT,10--NYSDOT,7
C110141,ALBANY,10--NYSDOT,10--NYSDOT,7
C110140,ALBANY,10--NYSDOT,10--NYSDOT,7
C110139,ALBANY,10--NYSDOT,10--NYSDOT,7
C110138,ALBANY,10--NYSDOT,10--NYSDOT,7
C110137,ALBANY,10--NYSDOT,10--NYSDOT,7
C110136,ALBANY,10--NYSDOT,10--NYSDOT,6
C110135,ALBANY,10--NYSDOT,10--NYSDOT,7
C110134,ALBANY,10--NYSDOT,10--NYSDOT,6
C110132,ALBANY,10--NYSDOT,10--NYSDOT,3
CA00448,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00447,ALBANY,10--NYSDOT,10--NYSDOT,7
C110165,ALBANY,10--NYSDOT,10--NYSDOT,7
C110130,ALBANY,10--NYSDOT,10--NYSDOT,5
CA00324,ALBANY,10--NYSDOT,10--NYSDOT,7
C110115,ALBANY,10--NYSDOT,10--NYSDOT,5
C110117,ALBANY,10--NYSDOT,10--NYSDOT,5
C110116,ALBANY,10--NYSDOT,10--NYSDOT,5
C110121,ALBANY,10--NYSDOT,10--NYSDOT,4.66699981689453
C110120,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110124,ALBANY,10--NYSDOT,10--NYSDOT,3
C110127,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00472,ALBANY,10--NYSDOT,10--NYSDOT,7
C110128,ALBANY,10--NYSDOT,10--NYSDOT,7
C110125,ALBANY,10--NYSDOT,10--NYSDOT,5
C110123,ALBANY,10--NYSDOT,10--NYSDOT,3
C110119,ALBANY,10--NYSDOT,10--NYSDOT,5
C110031,ALBANY,10--NYSDOT,10--NYSDOT,5
C119969,ALBANY,10--NYSDOT,10--NYSDOT,
